38.145434	-76.428044
38.143223	-76.433974
38.143084	-76.433419
38.146383	-76.423594
38.145853	-76.423700
38.142544	-76.433537
38.142253	-76.432944
38.145535	-76.423122
38.145012	-76.423229
38.141776	-76.432840
38.141495	-76.432263
38.143818	-76.425303
38.143634	-76.424361
38.141046	-76.432067
38.141422	-76.429465
38.143206	-76.424112
38.142750	-76.423913
38.141261	-76.428376
38.141243	-76.427021
38.141835	-76.425256
38.143083	-76.423770
38.141354	-76.428908
38.141207	-76.427874
38.142384	-76.424366
38.143450	-76.424164
38.140968	-76.431561
38.141217	-76.432325
38.143864	-76.424578
38.144060	-76.425399
38.141571	-76.432722
38.142042	-76.432805
38.145328	-76.423032
38.145642	-76.423583
38.142352	-76.433368
38.142849	-76.433398
38.146169	-76.423503
38.144362	-76.426832
