,alt,lat,lon,pitch,rol,yaw
106,101.41,32.9405337,35.1072201,7.25,7.92,173.13
107,102.01,32.9404773,35.1072275,8.19,6.82,172.37
108,102.39,32.940421,35.1072346,8.85,5.67,170.65
109,102.85,32.9403652,35.1072414,10.06,4.28,169.21
110,103.42,32.9403095,35.1072483,10.96,0.95,169.1
111,103.58,32.940254,35.1072549,11.37,-0.18,169.7
112,104.92,32.940199,35.1072618,11.83,-1.57,169.98
113,105.6,32.9401444,35.1072691,11.4,-1.76,169.9
114,106.33,32.94009,35.1072771,10.46,-3.22,169.33
115,107.14,32.9400355,35.1072853,10.79,-3.77,168.57
116,107.4,32.9399812,35.1072939,11.4,-4.14,167.83
117,107.98,32.9399269,35.107303,11.88,-4.64,166.95
118,108.51,32.9398728,35.1073125,12.27,-6.2,165.98
119,109.05,32.9398189,35.1073226,12.22,-1.38,164.76
120,109.87,32.9397654,35.1073335,12.38,-1.94,163.5
121,110.42,32.9397122,35.1073448,12.75,-3.44,163.12
122,111.18,32.9396595,35.1073564,13.11,-5.29,162.86
123,111.98,32.9396072,35.1073687,12.81,-3.09,162.31
124,112.97,32.9395553,35.1073816,11.43,2.79,160.25
125,113.52,32.9395037,35.1073946,10.23,9.25,158.3
126,114.59,32.9394522,35.1074077,8.97,17.63,157.53
127,115.08,32.9394008,35.1074207,8.16,27.27,158.3
128,115.61,32.9393492,35.1074334,7.27,39.8,160.65
129,115.98,32.9392971,35.1074452,5.96,51.87,164.0
130,116.23,32.9392445,35.1074555,3.75,63.17,167.6
131,116.49,32.939191,35.1074634,0.77,72.31,171.8
132,116.04,32.9391371,35.1074688,-2.61,75.88,176.93
133,115.89,32.9390828,35.1074714,-5.13,74.39,185.28
134,114.91,32.9390284,35.1074695,-7.44,68.21,194.94
135,113.64,32.938975,35.1074602,-7.32,60.75,204.89
136,112.63,32.938923,35.1074425,-5.27,56.22,211.87
137,111.65,32.9388731,35.107417,-2.27,53.61,218.78
138,110.85,32.9388262,35.1073848,0.91,50.49,225.51
139,110.45,32.938783,35.1073464,3.89,47.06,232.09
140,110.13,32.9387442,35.1073027,6.19,43.92,238.08
141,109.88,32.9387102,35.1072551,8.38,43.65,243.3
142,109.99,32.9386806,35.1072051,10.54,43.88,248.64
143,110.36,32.9386553,35.1071535,12.18,46.5,252.84
144,110.84,32.9386341,35.1071013,13.95,50.19,257.15
145,111.54,32.9386172,35.1070488,14.92,53.71,262.2
146,112.17,32.9386046,35.1069963,14.66,56.57,267.4
147,113.06,32.9385963,35.1069441,13.48,59.74,274.0
148,114.02,32.9385925,35.1068928,12.33,61.73,279.37
149,114.79,32.9385928,35.1068425,11.59,63.42,284.99
150,115.37,32.9385969,35.1067938,11.17,65.26,291.38
151,115.98,32.9386056,35.1067471,10.69,66.01,296.82
152,116.55,32.9386184,35.1067028,9.6,67.79,302.62
153,116.98,32.9386357,35.1066616,8.09,70.09,308.89
154,117.17,32.9386565,35.1066236,6.15,70.53,314.99
155,117.47,32.9386804,35.1065889,3.43,68.92,320.99
156,117.43,32.9387076,35.1065581,0.55,68.32,326.74
157,117.38,32.9387378,35.1065315,-1.67,65.51,331.46
158,117.03,32.9387703,35.1065091,-2.97,62.58,335.34
159,116.7,32.9388048,35.106491,-4.08,57.58,338.75
160,115.98,32.9388409,35.1064768,-6.15,47.1,342.4
161,115.4,32.9388782,35.1064659,-7.4,34.69,345.63
162,114.58,32.9389166,35.1064579,-7.44,22.12,348.01
163,113.75,32.9389558,35.1064522,-6.75,7.49,349.06
164,112.62,32.9389955,35.1064475,-5.7,3.29,348.76
165,111.77,32.9390361,35.1064436,-4.46,2.96,347.12
166,110.8,32.9390773,35.1064401,-3.91,2.6,345.81
167,110.12,32.9391187,35.1064363,-2.86,0.9,346.03
168,109.61,32.9391603,35.1064317,-2.15,-0.62,346.87
169,109.03,32.9392023,35.1064266,-1.52,-1.49,347.51
170,108.7,32.9392443,35.1064211,-0.83,-1.91,347.43
171,108.04,32.9392862,35.106415,0.17,-3.75,345.96
172,107.81,32.9393281,35.1064084,0.91,-4.58,344.51
173,107.61,32.93937,35.1064013,1.47,-3.53,344.11
174,107.54,32.9394117,35.1063931,1.98,-3.38,344.61
175,107.19,32.9394534,35.1063843,2.3,-2.2,344.72
176,107.24,32.9394944,35.1063752,2.85,-1.05,343.82
177,107.23,32.9395351,35.1063654,3.24,-0.34,342.24
178,107.37,32.9395756,35.1063552,3.04,0.64,341.9
179,107.84,32.9396161,35.1063451,2.95,1.53,342.24
180,107.96,32.9396562,35.1063345,2.66,0.67,342.0
181,108.04,32.9396957,35.1063236,2.48,5.23,342.51
182,108.1,32.9397348,35.1063127,1.59,8.63,343.42
183,108.3,32.9397742,35.1063025,0.9,9.69,343.36
184,108.38,32.9398134,35.1062928,0.08,7.1,342.49
185,108.27,32.9398524,35.106283,-0.02,2.84,341.9
186,108.14,32.9398913,35.1062729,-0.86,1.15,342.06
187,108.19,32.93993,35.1062627,-1.67,4.82,342.86
188,107.86,32.9399684,35.1062527,-0.79,3.87,342.86
189,107.48,32.9400069,35.1062426,0.1,1.42,342.4
190,107.09,32.9400456,35.1062323,0.73,-0.99,341.95
191,106.87,32.9400843,35.1062216,0.9,-1.04,341.8
192,106.57,32.940123,35.1062108,1.1,-1.34,341.9
193,106.7,32.9401612,35.1061996,1.75,-0.34,342.0
194,106.19,32.9401991,35.106188,2.06,-0.62,341.69
195,106.34,32.9402367,35.1061761,2.2,-1.3,341.44
196,106.28,32.940274,35.1061638,2.38,-0.71,341.07
197,106.31,32.940311,35.1061512,2.58,0.02,340.45
198,106.19,32.9403476,35.1061383,2.73,-0.55,339.63
199,106.35,32.940384,35.1061253,2.56,-0.49,339.32
200,106.2,32.9404203,35.106112,2.32,-0.63,339.56
201,106.43,32.9404562,35.1060983,2.56,-0.46,339.68
202,106.16,32.9404919,35.1060843,2.47,0.51,339.22
203,106.09,32.9405273,35.1060699,2.45,0.92,338.34
204,106.03,32.9405625,35.1060553,2.26,0.45,337.57
205,106.16,32.9405978,35.106041,2.33,0.0,337.31
206,106.03,32.9406328,35.1060264,2.2,-0.58,337.26
207,106.07,32.9406676,35.1060115,2.34,-1.07,337.21
208,106.04,32.9407023,35.1059963,2.21,-2.1,337.07
209,105.74,32.9407368,35.1059809,2.18,-1.78,336.97
210,105.89,32.9407709,35.1059653,2.23,-1.85,336.59
211,105.79,32.9408047,35.1059492,2.17,-1.09,335.92
212,105.9,32.9408383,35.1059327,2.08,-0.96,335.44
213,105.7,32.9408718,35.1059155,2.22,-1.3,335.42
214,105.61,32.9409055,35.105898,2.03,-1.56,335.26
215,105.78,32.9409395,35.1058799,1.96,-1.58,334.64
216,105.59,32.9409738,35.1058612,1.92,-0.7,333.93
217,105.95,32.9410085,35.1058418,2.11,-0.01,333.39
218,105.9,32.9410438,35.1058219,1.98,0.06,333.19
219,105.87,32.9410793,35.1058013,1.87,0.86,333.32
220,106.07,32.9411152,35.1057804,2.31,1.68,333.02
221,105.89,32.9411514,35.1057589,3.27,1.87,332.29
222,105.77,32.9411877,35.1057369,3.84,0.59,331.42
223,105.78,32.9412243,35.1057144,4.35,-0.55,330.83
224,106.03,32.941261,35.1056913,4.64,-1.64,330.42
225,106.12,32.9412978,35.105668,4.94,-2.73,330.47
226,106.5,32.9413344,35.1056438,5.34,-2.89,330.69
227,107.23,32.9413708,35.1056189,6.28,-2.22,329.77
228,107.27,32.9414074,35.1055935,6.64,-0.79,329.02
229,107.86,32.9414432,35.1055675,7.11,2.62,329.47
230,108.94,32.9414788,35.1055413,7.64,1.44,330.07
231,109.66,32.9415145,35.1055148,8.18,1.82,330.06
232,110.12,32.94155,35.1054878,9.27,0.08,328.83
233,110.1,32.9415852,35.1054609,10.59,-2.36,327.19
234,110.66,32.9416202,35.1054339,12.14,-4.82,326.27
235,111.28,32.9416547,35.1054064,13.59,-4.65,326.2
236,111.86,32.9416884,35.1053785,14.6,-3.31,326.8
237,112.95,32.9417215,35.1053503,15.44,-1.39,326.95
238,114.31,32.9417536,35.1053218,15.85,-0.12,326.12
239,115.58,32.941785,35.1052933,16.22,-1.8,324.32
240,117.01,32.9418157,35.105265,15.97,-0.61,322.56
241,118.12,32.9418461,35.105237,15.97,0.06,322.65
242,119.38,32.9418758,35.1052084,14.48,3.15,324.24
243,121.09,32.9419051,35.1051796,13.02,5.78,325.07
244,122.37,32.9419344,35.1051511,11.93,8.75,325.04
245,123.59,32.9419637,35.1051227,11.49,8.86,324.43
246,124.85,32.9419935,35.1050944,11.19,10.23,324.03
247,125.75,32.9420235,35.105066,11.19,13.1,323.89
248,126.3,32.9420538,35.1050379,10.95,16.24,325.52
249,127.3,32.9420842,35.1050104,11.32,19.19,327.74
250,127.93,32.9421154,35.1049837,11.75,23.07,329.15
251,128.23,32.9421471,35.104958,12.14,25.21,329.58
252,129.33,32.9421795,35.1049336,13.2,24.75,330.23
253,129.76,32.9422124,35.1049109,14.21,18.02,331.06
254,130.09,32.9422456,35.1048895,14.74,15.7,332.59
255,131.12,32.942279,35.1048689,14.95,17.62,334.56
256,131.99,32.9423127,35.1048493,15.4,20.53,335.98
257,132.99,32.9423464,35.1048308,15.63,24.55,337.91
258,134.04,32.94238,35.1048136,16.02,27.8,339.75
259,135.01,32.9424144,35.1047982,16.17,28.28,341.98
260,135.76,32.9424489,35.1047848,16.1,27.69,344.33
261,137.13,32.9424834,35.1047734,16.74,25.84,345.93
262,138.29,32.942518,35.1047637,17.06,23.78,347.08
263,138.98,32.9425529,35.1047556,14.37,17.31,348.06
264,140.68,32.9425877,35.1047485,10.79,12.22,348.78
265,142.03,32.9426225,35.1047417,8.05,12.23,349.35
266,143.36,32.9426577,35.1047354,6.94,13.48,349.06
267,144.11,32.9426932,35.1047296,5.93,17.66,347.77
268,144.57,32.9427287,35.1047242,5.79,23.09,347.77
269,144.63,32.9427642,35.1047193,7.2,21.82,349.43
270,144.58,32.9428002,35.1047153,8.31,14.29,351.33
271,145.09,32.9428366,35.1047124,8.86,10.03,352.15
272,145.86,32.9428729,35.1047104,9.63,10.65,352.56
273,145.75,32.9429091,35.1047089,9.95,13.6,353.1
274,146.43,32.9429452,35.1047084,10.23,17.0,353.41
275,147.39,32.9429816,35.1047088,10.0,21.86,355.12
276,147.88,32.943018,35.1047097,9.76,25.01,357.05
277,148.31,32.9430542,35.1047115,10.52,26.34,358.49
278,148.32,32.9430907,35.1047151,10.76,28.47,0.0
279,148.82,32.9431273,35.104721,10.76,27.48,2.04
280,149.26,32.9431633,35.104728,11.0,27.04,4.68
281,149.9,32.9431994,35.104737,10.77,28.39,7.47
282,150.52,32.9432354,35.1047479,11.2,28.1,9.06
283,151.08,32.9432716,35.1047607,11.56,28.83,10.44
284,151.51,32.9433074,35.1047747,12.0,28.32,12.47
285,151.85,32.9433427,35.1047905,11.96,28.38,15.47
286,152.41,32.9433774,35.1048085,11.9,28.75,18.34
287,153.21,32.9434115,35.1048286,12.2,29.23,20.26
288,153.7,32.9434448,35.1048507,12.62,29.63,21.52
289,154.78,32.9434773,35.1048744,12.93,29.04,23.17
290,155.37,32.9435092,35.1048997,13.29,28.57,25.25
291,156.04,32.9435404,35.1049269,13.29,30.18,27.77
292,156.56,32.9435706,35.104956,12.93,32.85,30.16
293,157.46,32.9435998,35.1049872,12.82,33.96,32.32
294,158.38,32.9436281,35.1050199,12.87,34.78,34.87
295,158.56,32.9436553,35.1050542,12.92,34.85,37.77
296,159.21,32.9436815,35.1050906,12.61,32.7,40.38
297,159.98,32.9437065,35.1051285,12.56,32.49,43.08
298,160.55,32.9437301,35.105168,12.53,32.29,44.97
299,161.32,32.9437522,35.105209,12.77,31.92,47.12
300,161.86,32.9437732,35.1052516,13.28,31.63,49.46
301,162.19,32.9437929,35.1052956,13.53,31.21,51.31
302,162.77,32.9438108,35.1053408,13.75,31.08,53.68
303,163.28,32.9438271,35.1053875,13.17,33.16,56.83
304,164.19,32.9438419,35.1054354,12.48,33.8,60.35
305,164.92,32.943855,35.1054842,12.26,34.19,63.43
306,165.52,32.943866,35.105534,12.2,34.04,65.58
307,166.57,32.943875,35.1055847,12.23,35.44,67.33
308,167.27,32.9438826,35.1056365,12.39,36.25,69.75
309,167.65,32.9438889,35.1056891,12.32,36.8,72.68
310,168.38,32.9438931,35.1057422,11.71,38.25,76.32
311,168.62,32.9438953,35.105796,11.23,39.4,79.66
312,169.21,32.9438952,35.1058504,11.07,40.7,82.68
313,169.61,32.9438925,35.1059053,10.88,41.79,85.94
314,170.41,32.9438875,35.1059606,10.58,42.37,89.66
315,170.82,32.9438803,35.106016,10.46,42.45,93.29
316,171.17,32.9438704,35.1060713,10.51,39.78,96.79
317,171.87,32.9438578,35.1061263,10.87,37.81,99.82
